Price,Area,Locality,Year
5832000,1477 sqft,"RamkyOneMarvel,Kukatpally,NH",2018-2019
4374000,1250 sqft,"GoldenHeightsColony,Janachaitanyacolony,HyderabadExpressway",2018-2019
7290000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
8748000,3250 sqft,"Floatilla,Manikonda,OuterRingRoad",2018-2019
12150000,2200 sqft,"AshokaLiviano,Gachibowli,OuterRingRoad",2018-2019
3645000,1360 sqft,"ModiEmeraldHeights,Pocharam,NH",2018-2019
7290000,1460 sqft,Shamshabad,2018-2019
4374000,1150 sqft,RoyalColony-RamBaghColony,2018-2019
6075000,2000 sqft,"AnjaneyanagarColony,Boduppal",2018-2019
2308500,900 sqft,Bairagiguda,2018-2019
6561000,1600 sqft,WestMarredpally,2018-2019
8748000,1477 sqft,KavuriHills,2018-2019
10935000,1369 sqft,MasabTank,2018-2019
11664000,2580 sqft,Whitefields,2018-2019
10935000,2259 sqft,"LodhaMeridian,KukatpallyHousingBoardColony,NH",2018-2019
7776000,1800 sqft,"Khairatabad,NH",2018-2019
8019000,1314 sqft,"MyHomeAvatar,Myhomeavatar",2018-2019
1944000,890 sqft,Medipally,2018-2019
9720000,1843 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
6075000,1650 sqft,"OldNallakunta,NewNallakunta",2018-2019
2916000,1200 sqft,"ParamountResidency,Nagaram",2018-2019
4374000,1477 sqft,"Sadbhavana,Ghatkesar,NH",2018-2019
3159000,1100 sqft,"JanapriyaLakefront,Sainikpuri",2018-2019
6075000,2000 sqft,SuchitraCircle,2018-2019
9234000,2540 sqft,"NCCUrbanOne,Narsingi,OuterRingRoad",2018-2019
3888000,1150 sqft,"GandhiNagar,Kavadiguda,NH",2018-2019
2551500,1250 sqft,"Beeramguda,RamachandraPuram,NH",2018-2019
9720000,2200 sqft,GachibowliPhase,2018-2019
4617000,1120 sqft,"BasheerBagh,NH",2018-2019
4860000,1608 sqft,"Manchirevula,OuterRingRoad",2018-2019
4860000,2000 sqft,OsmanNagar,2018-2019
6318000,1200 sqft,"Ameerpet,NH",2018-2019
4860000,1000 sqft,BandariLayout,2018-2019
4495500,1100 sqft,"AlHasnathColony,ToliChowki",2018-2019
8505000,950 sqft,Shaikpet,2018-2019
9720000,1900 sqft,"NCLSindhu,DandamudiEnclave,Jeedimetla",2018-2019
7290000,2045 sqft,Shaikpet,2018-2019
9720000,1800 sqft,"Nallagandla,Serilingampally",2018-2019
5103000,1368 sqft,Gajularamaram,2018-2019
4374000,1477 sqft,Gowlidoddy,2018-2019
7897500,1500 sqft,"KukatpallyHousingBoardColony,NH",2018-2019
7776000,1450 sqft,"KavuriHills,Madhapur",2018-2019
10935000,2347 sqft,"SMRVinayIconia,Kondapur",2018-2019
10935000,2800 sqft,"TrendsetWinz,Gachibowli,OuterRingRoad",2018-2019
9720000,1650 sqft,"Gachibowli,OuterRingRoad",2018-2019
7654500,1865 sqft,"InduFortuneFieldsapartments,HitechCity",2018-2019
5832000,2200 sqft,"OldMalakpet,NH",2018-2019
10935000,3000 sqft,"Hafeezpet,NH",2018-2019
3159000,1000 sqft,"TempleAlwal,Secunderabad,SiddipetRoad",2018-2019
4860000,1300 sqft,"Punjagutta,NH",2018-2019
4374000,1300 sqft,"SamathaNagar,Kukatpally,NH",2018-2019
10935000,1375 sqft,"LancoHills,Manikonda,OuterRingRoad",2018-2019
4860000,1800 sqft,"Narsingi,OuterRingRoad",2018-2019
8748000,2000 sqft,"Domalguda,HimayathNagar,NH",2018-2019
5346000,1600 sqft,"NCLGanga,Kompally",2018-2019
5589000,2100 sqft,"PragathiNagar-Ramanthpur,NH",2018-2019
3766500,1789 sqft,"Saket,Secunderabad",2018-2019
2916000,1450 sqft,Sainikpuri,2018-2019
10935000,3380 sqft,"NCCUrbanOne,Narsingi,OuterRingRoad",2018-2019
8505000,2000 sqft,"Lakdikapul,NH",2018-2019
3645000,1100 sqft,VidyaNagar,2018-2019
7776000,1690 sqft,"AparnaHillparkGardenia,Chandanagar,NH",2018-2019
5346000,1750 sqft,"KalyanPuri,Secunderabad",2018-2019
6561000,1050 sqft,NehruNagar-WestMarredpally,2018-2019
2430000,800 sqft,SangareddyDistrict,2018-2019
5346000,1070 sqft,"SamataColony,ToliChowki",2018-2019
2916000,1252 sqft,Dammaiguda,2018-2019
3888000,1150 sqft,"TilakNagar,NewNallakunta,NH",2018-2019
5346000,2400 sqft,"Tellapur,OuterRingRoad",2018-2019
9477000,1590 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
4374000,1700 sqft,Karwansahu,2018-2019
12150000,1550 sqft,NewMallepally,2018-2019
8019000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
4495500,1000 sqft,MayurMarg,2018-2019
11664000,1950 sqft,NanakramGuda,2018-2019
6075000,4000 sqft,"SaptagiriColony,Kukatpally,NH",2018-2019
3645000,1477 sqft,Sangareddy,2018-2019
3402000,1000 sqft,"DilsukhNagar,NH",2018-2019
4860000,1630 sqft,"Alkapuri,LBNagar,NH",2018-2019
6561000,1050 sqft,Madhapur,2018-2019
3645000,915 sqft,"Vidyanagar,Adikmet",2018-2019
3402000,1200 sqft,"Champapet,Koti",2018-2019
4009500,1144 sqft,"NirmalaRatnaApartment,Gangaram,Chandanagar,NH",2018-2019
7047000,1660 sqft,"MotiNagar-Erragadda,NH",2018-2019
9720000,1198 sqft,"MantriCelestia,Gachibowli,OuterRingRoad",2018-2019
4252500,1200 sqft,MasabTank,2018-2019
3888000,1655 sqft,"HyderNagar,NH",2018-2019
7290000,2000 sqft,"KhajaGuda,OuterRingRoad",2018-2019
6075000,2003 sqft,"PearlCelestial,Kokapet,OuterRingRoad",2018-2019
5832000,1600 sqft,"VertexPleasant,Kukatpally,NH",2018-2019
8505000,2500 sqft,"BanjaraHills,NH",2018-2019
9720000,2000 sqft,"KavuriHills,Madhapur",2018-2019
10206000,1477 sqft,AparnaSerenePark,2018-2019
5346000,1570 sqft,"DaisyClassic,Kukatpally,NH",2018-2019
5589000,1380 sqft,"SMRVinayHarmonyCounty,Appajunction",2018-2019
9720000,4000 sqft,"MyNestMahati,Kondapur",2018-2019
6561000,1800 sqft,"DeLitePowerWelfareSociety,Narsingi,OuterRingRoad",2018-2019
3037500,1095 sqft,Gajularamaram,2018-2019
3037500,1477 sqft,"SunCity,Bandlaguda,ChevellaRoad",2018-2019
2916000,1000 sqft,Gudimalkapur,2018-2019
4374000,1260 sqft,Tarnaka,2018-2019
6075000,1800 sqft,Appajunction,2018-2019
6075000,1610 sqft,RaghuramA,2018-2019
5589000,1495 sqft,"SMRVinayCity,Miyapur,NH",2018-2019
3888000,1300 sqft,Nizampet,2018-2019
9234000,2600 sqft,"Yousufguda,NH",2018-2019
4495500,1265 sqft,"Chandanagar,NH",2018-2019
12150000,2285 sqft,"LumbiniAvenue,Gachibowli,OuterRingRoad",2018-2019
5346000,1425 sqft,"Kokapet,OuterRingRoad",2018-2019
