Price,Area,Locality,Year
6075000,1200 sqft,ToliChowki,2018-2019
7411500,1500 sqft,"KhajaGuda,OuterRingRoad",2018-2019
6075000,1643 sqft,"RVKaustubha,Kompally",2018-2019
9720000,1505 sqft,"AparnaSerenePark,Kondapur",2018-2019
1944000,1050 sqft,"Bachupally,OuterRingRoad",2018-2019
9720000,1477 sqft,VajrasJasmineCounty,2018-2019
5346000,1600 sqft,"AdvocatesColony,HimayathNagar",2018-2019
6804000,1050 sqft,PoliceColony-Kondapur,2018-2019
6561000,1920 sqft,"HyderNagar,NH",2018-2019
3645000,1300 sqft,Gajularamaram,2018-2019
3888000,1550 sqft,MADEENAGUDA,2018-2019
4860000,1275 sqft,"Madinaguda,Hafeezpet,NH",2018-2019
7290000,1200 sqft,"PJanardhanReddyNagar,Gachibowli,OuterRingRoad",2018-2019
6804000,1200 sqft,"AlkapurTownship,Manikonda,OuterRingRoad",2018-2019
5589000,1525 sqft,"SMRSowmya,WestMarredpally",2018-2019
6318000,1100 sqft,ToliChowki,2018-2019
3645000,1500 sqft,"BommarilluHomes,MadhuraNagar-Nizampet",2018-2019
4252500,1800 sqft,"SapthagiriEnclave,Bachupally,OuterRingRoad",2018-2019
5832000,1250 sqft,"MalaysianTownship,Kukatpally,NH",2018-2019
7290000,1314 sqft,"Narsingi,OuterRingRoad",2018-2019
9234000,1850 sqft,Begumpet,2018-2019
7290000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
3645000,1475 sqft,SivajiNagar-Chandanagar,2018-2019
7290000,1090 sqft,"Lakdikapul,NH",2018-2019
2187000,150 sqft,"Uppal,NH",2018-2019
6075000,1400 sqft,"DundooClassicTower,Boiguda",2018-2019
3645000,1365 sqft,"JaiJawaharNagar,Secunderabad",2018-2019
2916000,970 sqft,Ashgoli,2018-2019
2916000,1150 sqft,Adibatla,2018-2019
6075000,1477 sqft,Kondapur,2018-2019
4374000,1350 sqft,ToliChowki,2018-2019
3888000,900 sqft,"Hafeezpet,NH",2018-2019
4738500,1550 sqft,"MayflowerHeights,Mallapur",2018-2019
2308500,1100 sqft,"Bandlaguda,Nagole,SrisailamHighway",2018-2019
3402000,1000 sqft,"Gangaram,Chandanagar,NH",2018-2019
10206000,1870 sqft,"VajrasJasmineCounty,Gachibowli,OuterRingRoad",2018-2019
7290000,2535 sqft,"PatelsBrightView,Yapral",2018-2019
6561000,1500 sqft,"Secunderabad,RashtrapatiROAd",2018-2019
3888000,1654 sqft,"VSRCelestialTowers,Gajularamaram",2018-2019
6804000,2300 sqft,"SMRVinayHarmonyCounty,Appajunction",2018-2019
6075000,"40,000 sqft","ChitrapuriColony,Manikonda,OuterRingRoad",2018-2019
10935000,2630 sqft,"HallmarkKSNResidency,Kondapur",2018-2019
10935000,1800 sqft,"VittalRaoNagar,HitechCity",2018-2019
4860000,1275 sqft,"NCLSindhu,SatyamEnclave,Komapally,NH",2018-2019
2673000,1100 sqft,"ManovikasNagar,Secunderabad,NH",2018-2019
9720000,1834 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
6804000,1533 sqft,"Ramanthapur,NH",2018-2019
4374000,1250 sqft,"PragathiNagar,Kukatpally",2018-2019
2187000,1500 sqft,"Bandlaguda,Nagole,SrisailamHighway",2018-2019
1944000,900 sqft,Patelguda,2018-2019
2673000,950 sqft,SuchitraRoad,2018-2019
7776000,1555 sqft,"Hafeezpet,NH",2018-2019
6318000,1600 sqft,"GreenFieldColony,Secunderabad",2018-2019
3523500,1101 sqft,"Bachupally,OuterRingRoad",2018-2019
10935000,2800 sqft,NearGachibowliFinancilDist.,2018-2019
4009500,1400 sqft,"MoulaAli,MoulaAliRoad",2018-2019
12150000,2200 sqft,Gachibwoli(ORRjunction),2018-2019
8748000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
8505000,1490 sqft,"AdityaNagar,Hafeezpet",2018-2019
7776000,2200 sqft,"SRISAIRAMTowers,IndraReddyAlwynColony,Miyapur,NH",2018-2019
4374000,1130 sqft,Adibatla,2018-2019
9720000,1875 sqft,Shaikpet,2018-2019
3159000,1275 sqft,"GaghanPahad,RajendraNagar,OuterRingRoad",2018-2019
5346000,1510 sqft,"Hafeezpet,NH",2018-2019
7290000,1800 sqft,"KrishnaNagar,Yousufguda",2018-2019
2916000,1500 sqft,"Bachupally,OuterRingRoad",2018-2019
2916000,1200 sqft,Adibatla,2018-2019
2430000,1100 sqft,"MallaReddyColony,Secunderabad",2018-2019
8748000,1198 sqft,"MantriCelestia,Gachibowli,OuterRingRoad",2018-2019
2916000,1500 sqft,"BuddhaNagarColony,Boduppal",2018-2019
6075000,850 sqft,Mehdipatnam,2018-2019
6804000,850 sqft,Mehdipatnam,2018-2019
3645000,600 sqft,,2018-2019
3645000,1600 sqft,DrA.S.RaoNagar,2018-2019
2916000,1300 sqft,"Bachupally,OuterRingRoad",2018-2019
7290000,2400 sqft,Marredpally,2018-2019
4374000,1660 sqft,"Boduppal,NH",2018-2019
3402000,1150 sqft,Nizampet,2018-2019
3645000,1620 sqft,"FortView,Hydershakote,Bandlaguda,ChevellaRoad",2018-2019
6804000,850 sqft,Mehdipatnam,2018-2019
4374000,1400 sqft,Nagole,2018-2019
7290000,850 sqft,Hakimpet-Hyderabad,2018-2019
5346000,1375 sqft,"QuadriHappyHomesParadise,Amberpet",2018-2019
4617000,1125 sqft,Gajularamaram,2018-2019
7290000,1675 sqft,"Ameerpet,NH",2018-2019
4374000,1600 sqft,"Rasoolpura,MahatmaGandhiRoad",2018-2019
5589000,1550 sqft,KPHBColony,2018-2019
10206000,1834 sqft,"Narsingi,OuterRingRoad",2018-2019
5832000,2000 sqft,"Pocharam,NH",2018-2019
3402000,1800 sqft,"Boduppal,NH",2018-2019
3888000,1600 sqft,"Chandanagar,NH",2018-2019
6075000,1400 sqft,"RaghavendraColony,NH",2018-2019
5224500,1400 sqft,Puppalaguda,2018-2019
9720000,1600 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
7290000,1162 sqft,"AliensFastTrack,Madhapur",2018-2019
5589000,1461 sqft,"KKRsFountainhead,Miyapur,NH",2018-2019
8505000,2358 sqft,"PearlCelestial,Kokapet,OuterRingRoad",2018-2019
2916000,1100 sqft,militarydairyfarmrd,2018-2019
3645000,1150 sqft,"SkandaSrinivasam,Isnapur,OuterRingRoad",2018-2019
4617000,1477 sqft,"Madinaguda,Hafeezpet,NH",2018-2019
12150000,2260 sqft,"GreenGrace,Gachibowli,OuterRingRoad",2018-2019
5346000,1205 sqft,"VazhraaNirmaanPushpak,MadhuraNagar-Nizampet",2018-2019
3888000,600 sqft,Papulguda,2018-2019
4374000,1360 sqft,HumayunNagar,2018-2019
5589000,1200 sqft,"PadmaraoNagar,Hyderabad-KarimnagarHighway",2018-2019
4131000,1200 sqft,"NewBowenpally,NH",2018-2019
10935000,1961 sqft,"Punjagutta,NH",2018-2019
6075000,1400 sqft,"Manikonda,OuterRingRoad",2018-2019
5346000,1300 sqft,"ShankaraKranthiApartment,Kavadiguda,NH",2018-2019
5103000,1450 sqft,Shaikpet,2018-2019
8019000,1711 sqft,"ITHeights,KhajaGuda,OuterRingRoad",2018-2019
6075000,1600 sqft,"HimayathNagar,NH",2018-2019
10935000,2540 sqft,"Narsingi,OuterRingRoad",2018-2019
4252500,1400 sqft,"SunCity,Bandlaguda,ChevellaRoad",2018-2019
6075000,1670 sqft,"Upparpally,HyderabadExpressway",2018-2019
7290000,1314 sqft,"Narsingi,OuterRingRoad",2018-2019
10206000,2150 sqft,"TheLegendSomajigudaI,Somajiguda,NH",2018-2019
8505000,1500 sqft,ShivamRd,2018-2019
6318000,900 sqft,Hakimpet-Hyderabad,2018-2019
7290000,2200 sqft,"Miyapur,NH",2018-2019
10935000,2540 sqft,"NCCUrbanOne,Narsingi,OuterRingRoad",2018-2019
6804000,1715 sqft,"Habsiguda,NH",2018-2019
7533000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
7290000,1314 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
3645000,1350 sqft,"Bandlaguda,Nagole,SrisailamHighway",2018-2019
8505000,2000 sqft,KPHBRoad,2018-2019
5346000,1600 sqft,Gopanapalli,2018-2019
6075000,1530 sqft,"KukatpallyHousingBoardColony,NH",2018-2019
3159000,1300 sqft,"Ramanthapur,NH",2018-2019
3645000,1300 sqft,RahatNagar-Amberpet,2018-2019
3402000,1000 sqft,"RadhaKrishnaNagar-Attapur,Attapur",2018-2019
6561000,2100 sqft,"SMRSartajPlaza,Bowenpally",2018-2019
8262000,1834 sqft,"MyHomeAvatar,Narsingi,OuterRingRoad",2018-2019
4860000,1665 sqft,Puppalaguda,2018-2019
6561000,1135 sqft,"JayaNagar,Kukatpally,NH",2018-2019
2673000,1000 sqft,Gajularamaram,2018-2019
4860000,1350 sqft,Attapur,2018-2019
6075000,1400 sqft,"Ameerpet,NH",2018-2019
9234000,1800 sqft,"AparnaSarovar,Nalagantla",2018-2019
6804000,850 sqft,Mehdipatnam,2018-2019
3645000,1210 sqft,"Bachupally,OuterRingRoad",2018-2019
6075000,1500 sqft,"BasheerBagh,NH",2018-2019
3888000,1614 sqft,Gajularamaram,2018-2019
7290000,1650 sqft,"SMREmpire,WestMarredpally",2018-2019
2065500,1477 sqft,JanapriyaLakefront,2018-2019
3888000,1416 sqft,Nizampet,2018-2019
3280500,1477 sqft,"VictoryEstates,Jeedimetla,NH",2018-2019
3037500,870 sqft,"VasathiAnandi,Appajunction",2018-2019
9720000,1250 sqft,"SMRVinayTechnopolis,Madhapur",2018-2019
2673000,1100 sqft,"Pocharam,NH",2018-2019
4374000,1800 sqft,Nizampet,2018-2019
5832000,1800 sqft,"Narsingi,OuterRingRoad",2018-2019
6561000,1150 sqft,"MuppasAlankrita,Narsingi,OuterRingRoad",2018-2019
2187000,1080 sqft,Gajularamaram,2018-2019
5103000,2600 sqft,Trimulgherry,2018-2019
4617000,1345 sqft,"RahejaVistas,Nacharam",2018-2019
5832000,1400 sqft,"UshodayaEnclave,Hafeezpet",2018-2019
4009500,1625 sqft,Nizampet,2018-2019
1701000,1000 sqft,Badangpet,2018-2019
6318000,1500 sqft,"Erragadda,NH",2018-2019
4009500,1625 sqft,BandariLayout,2018-2019
12150000,2300 sqft,"Domalguda,HimayathNagar,NH",2018-2019
10327500,1860 sqft,"VajrasJasmineCounty,Gachibowli,OuterRingRoad",2018-2019
12150000,1575 sqft,"AdityaEmpressTowers,Shaikpet",2018-2019
8505000,1600 sqft,"BanjaraHills,NH",2018-2019
4860000,1435 sqft,DrA.S.RaoNagar,2018-2019
4860000,1275 sqft,Boiguda,2018-2019
9720000,2090 sqft,"L&TSereneCounty,TelecomNagar,Gachibowli,OuterRingRoad",2018-2019
10935000,2425 sqft,"MeenakshiSkyLounge,BikshapathiNagar,Hafeezpet",2018-2019
5346000,1000 sqft,HitechCity,2018-2019
6075000,1200 sqft,Madhapur,2018-2019
6804000,1550 sqft,"DDColony,Amberpet",2018-2019
8505000,1900 sqft,"AdityaImperialHeights,Hafeezpet,NH",2018-2019
2430000,850 sqft,Attapur,2018-2019
3402000,1400 sqft,Attapur,2018-2019
2916000,990 sqft,Nizampet,2018-2019
3159000,1477 sqft,PragathiNagar,2018-2019
3888000,1100 sqft,"Chandanagar,NH",2018-2019
3888000,975 sqft,"Lingampally-Serilingampally,NH",2018-2019
1579500,1477 sqft,"BanjaraHills,NH",2018-2019
9234000,1900 sqft,"LodhaMeridian,KukatpallyHousingBoardColony,NH",2018-2019
10935000,1500 sqft,MasabTank,2018-2019
3037500,1477 sqft,Madhapur,2018-2019
3645000,1100 sqft,"Madinaguda,Hafeezpet,NH",2018-2019
5589000,1750 sqft,"AnjaniTowers,Ameerpet,NH",2018-2019
6075000,1600 sqft,Himayatnagar,2018-2019
4860000,2000 sqft,BandlagudaJagir,2018-2019
5103000,1715 sqft,MIGHColony-Mehdipatnam,2018-2019
9234000,1834 sqft,"Narsingi,OuterRingRoad",2018-2019
3888000,1350 sqft,"Manikonda,OuterRingRoad",2018-2019
6075000,1560 sqft,NewMallepally,2018-2019
7290000,1477 sqft,Madhapur,2018-2019
4374000,1100 sqft,"HimayathNagar,NH",2018-2019
8748000,1600 sqft,"MyHomeVihanga,Gachibowli,OuterRingRoad",2018-2019
3742200,1025 sqft,Begumpet,2018-2019
1701000,1477 sqft,New,2018-2019
4617000,1800 sqft,PanjaguttaColony,2018-2019
5346000,1800 sqft,Attapur,2018-2019
6075000,1477 sqft,Hitex,2018-2019
9720000,2600 sqft,"BanjaraHills,NH",2018-2019
3888000,1477 sqft,AnjaneyanagarColony,2018-2019
3037500,1477 sqft,"SanathNagar,NH",2018-2019
2916000,1200 sqft,Neredmet,2018-2019
9720000,1198 sqft,"MantriCelestia,Gachibowli,OuterRingRoad",2018-2019
7290000,1602 sqft,"MJRGoldenEnclave,Madhapur",2018-2019
2673000,1125 sqft,"LakshmiNagarColony-HanumanNagarColony,Secunderabad",2018-2019
6075000,2000 sqft,"Barkatpura,Kachiguda,NH",2018-2019
11664000,2500 sqft,"JayabheriOrangeCounty,GachibowliCUC,OuterRingRoad",2018-2019
3645000,1000 sqft,"Gachibowli,OuterRingRoad",2018-2019
3159000,1477 sqft,Alwal,2018-2019
5103000,1477 sqft,"RaghavendraColony,NH",2018-2019
7290000,1685 sqft,"MyHomesJewel,Miyapur,NH",2018-2019
6804000,1550 sqft,"YellaReddyGuda,NH",2018-2019
1944000,1477 sqft,"YellaReddyGuda,NH",2018-2019
7290000,2100 sqft,"AshokNagar,HimayathNagar",2018-2019
2916000,1100 sqft,"Malakpet,NH",2018-2019
8505000,1850 sqft,"HimayathNagar,NH",2018-2019
4252500,1100 sqft,Kondapur,2018-2019
11421000,2500 sqft,"MeenakshisRoyalCourt,BanjaraHills,NH",2018-2019
6968000,1340,Nizampet,2019-2020
29000000,3498,Hitech City,2019-2020
6590000,1318,Manikonda,2019-2020
5739000,1295,Alwal,2019-2020
5679000,1145,Kukatpally,2019-2020
6099000,1230,Nizampet,2019-2020
7000000,1350,Manikonda,2019-2020
4198000,1400,Gachibowli,2019-2020
9900000,2240,Tellapur,2019-2020
9800000,1520,Gachibowli,2019-2020
8903000,1535,Kokapet,2019-2020
6300000,1150,Hyder Nagar,2019-2020
6300000,1285,Mehdipatnam,2019-2020
9000000,1897,Tellapur,2019-2020
11100000,1725,Narsingi,2019-2020
11500000,1665,Khajaguda Nanakramguda Road,2019-2020
10900000,1592,Kukatpally,2019-2020
8625000,1150,Madhapur,2019-2020
9900000,2240,Tellapur,2019-2020
3900000,1050,Puppalaguda,2019-2020
6968000,1340,Nizampet,2019-2020
29000000,3498,Hitech City,2019-2020
6590000,1318,Manikonda,2019-2020
5739000,1295,Alwal,2019-2020
5679000,1145,Kukatpally,2019-2020
6099000,1230,Nizampet,2019-2020
7000000,1350,Manikonda,2019-2020
4198000,1400,Gachibowli,2019-2020
9900000,2240,Tellapur,2019-2020
9800000,1520,Gachibowli,2019-2020
8903000,1535,Kokapet,2019-2020
6300000,1150,Hyder Nagar,2019-2020
6300000,1285,Mehdipatnam,2019-2020
9000000,1897,Tellapur,2019-2020
11100000,1725,Narsingi,2019-2020
11500000,1665,Khajaguda Nanakramguda Road,2019-2020
10900000,1592,Kukatpally,2019-2020
8625000,1150,Madhapur,2019-2020
9900000,2240,Tellapur,2019-2020
3900000,1050,Puppalaguda,2019-2020
7800000,1735,Puppalaguda,2019-2020
19600000,2800,Narsingi,2019-2020
6050000,1050,Begumpet,2019-2020
6150000,1230,Kukatpally,2019-2020
5000000,1175,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
30000000,2956,Banjara Hills,2019-2020
2500000,680,AS Rao Nagar,2019-2020
5900000,1350,Pragathi Nagar Kukatpally,2019-2020
9700000,1970,Miyapur,2019-2020
4641000,1105,Mallampet,2019-2020
16000000,2005,Nanakramguda,2019-2020
4641000,1105,Mallampet,2019-2020
7500000,1406,Attapur,2019-2020
6140000,1545,Alwal,2019-2020
10500000,1495,Nanakramguda,2019-2020
7200000,1300,West Marredpally,2019-2020
4600000,1200,Nizampet,2019-2020
10400000,1450,Hitech City,2019-2020
9500000,1450,Banjara Hills,2019-2020
9942000,1912,Narsingi,2019-2020
9250000,1850,Manikonda,2019-2020
4500000,1300,Puppalaguda,2019-2020
9600000,1674,Kompally,2019-2020
8600000,1242,Sri Nagar Colony,2019-2020
2700000,850,Hakimpet,2019-2020
6600000,1895,Pocharam,2019-2020
8589000,1636,Nagole,2019-2020
5500000,1076,LB Nagar,2019-2020
3200000,1080,Meerpet,2019-2020
20500000,2100,Kachiguda,2019-2020
6300000,1265,Manikonda,2019-2020
6400000,1300,Masab Tank,2019-2020
4988000,1089,Miyapur,2019-2020
10500000,1400,Kondapur,2019-2020
4300000,850,Saroornagar,2019-2020
3900000,1100,Nizampet,2019-2020
5500000,1700,Uppal Kalan,2019-2020
10300000,2150,Tellapur,2019-2020
6600000,1195,Mallapur,2019-2020
6500000,1105,Miyapur,2019-2020
5784000,1205,Manikonda,2019-2020
5500000,1250,Rajendra Nagar,2019-2020
6700000,1340,Puppalaguda,2019-2020
3000000,950,Beeramguda,2019-2020
4700000,1100,Moosapet,2019-2020
15000000,1908,Kondapur,2019-2020
7872000,1675,Bachupally,2019-2020
7500000,1420,Toli Chowki,2019-2020
8903000,1535,Kokapet,2019-2020
3200000,910,Nanakramguda,2019-2020
5600000,1325,Lakdikapul,2019-2020
11000000,1717,Tarnaka,2019-2020
12000000,2400,West Marredpally,2019-2020
6900000,1150,Kondapur,2019-2020
3900000,1000,Toli Chowki,2019-2020
3999000,1200,Kistareddypet,2019-2020
4460000,1040,Pragathi Nagar Kukatpally,2019-2020
7298999,1181,Hafeezpet,2019-2020
10500000,2100,Kompally,2019-2020
12000000,1550,Shaikpet,2019-2020
7700000,1280,Amberpet,2019-2020
12400000,1945,Kokapet,2019-2020
28200000,3500,Hitech City,2019-2020
3700000,1000,Nagole,2019-2020
8000000,1200,Miyapur,2019-2020
17700000,2729,Gachibowli,2019-2020
6998999,1500,AS Rao Nagar,2019-2020
19400000,2165,Banjara Hills,2019-2020
3000000,1050,Kapra,2019-2020
2999000,1150,Bachupally,2019-2020
8500000,1822,West Marredpally,2019-2020
6500000,1270,Puppalaguda,2019-2020
4500000,1300,Trimalgherry,2019-2020
8500000,1600,Habsiguda,2019-2020
14500000,1818,Sanath Nagar,2019-2020
8000000,1282,Darga Khaliz Khan,2019-2020
8600000,1830,Manikonda,2019-2020
9073000,1815,Kokapet,2019-2020
6700000,1400,Puppalaguda,2019-2020
6344000,1220,Nizampet,2019-2020
8580000,1650,Nizampet,2019-2020
8736000,1680,Nizampet,2019-2020
8086000,1555,Nizampet,2019-2020
8762000,1685,Nizampet,2019-2020
7904000,1520,Nizampet,2019-2020
6370000,1225,Nizampet,2019-2020
9334000,1795,Nizampet,2019-2020
7462000,1435,Nizampet,2019-2020
7436000,1430,Nizampet,2019-2020
6578000,1265,Nizampet,2019-2020
10400000,2080,Manikonda,2019-2020
10400000,2092,Manikonda,2019-2020
6850000,1370,Manikonda,2019-2020
11100000,2232,Manikonda,2019-2020
10300000,2063,Manikonda,2019-2020
7000000,1400,Manikonda,2019-2020
9325000,1865,Manikonda,2019-2020
11299999,2270,Manikonda,2019-2020
9480000,1896,Manikonda,2019-2020
25600000,3031,Hitech City,2019-2020
8510000,1702,Manikonda,2019-2020
6750000,1350,Manikonda,2019-2020
7625000,1525,Manikonda,2019-2020
6125000,1225,Manikonda,2019-2020
8640000,1728,Manikonda,2019-2020
8625000,1725,Manikonda,2019-2020
6500000,1300,Manikonda,2019-2020
8000000,1600,Manikonda,2019-2020
6000000,1200,Manikonda,2019-2020
9900000,1640,Kothaguda,2019-2020
8234999,1830,Kompally,2019-2020
8256999,1835,Kompally,2019-2020
7100000,1570,Tellapur,2019-2020
9900000,1570,Tellapur,2019-2020
9900000,2240,Tellapur,2019-2020
9900000,2240,Tellapur,2019-2020
16000000,1895,Sanath Nagar,2019-2020
8000000,1600,Manikonda,2019-2020
5654000,1140,Kukatpally,2019-2020
5704000,1150,Kukatpally,2019-2020
7588000,1530,Kukatpally,2019-2020
5999000,1230,Nizampet,2019-2020
6000000,1300,Manikonda,2019-2020
3148000,1050,Gachibowli,2019-2020
6325000,1665,Gachibowli,2019-2020
4748000,1250,Gachibowli,2019-2020
4748000,1250,Gachibowli,2019-2020
8168000,1900,Gachibowli,2019-2020
8168000,1900,Gachibowli,2019-2020
7802000,1815,Gachibowli,2019-2020
5373000,1250,Gachibowli,2019-2020
7400000,1530,Moosapet,2019-2020
7400000,1530,Balanagar,2019-2020
8903000,1535,Kokapet,2019-2020
20200000,3380,Kokapet,2019-2020
20200000,3380,Kokapet,2019-2020
10800000,1875,Kokapet,2019-2020
10800000,1875,Kokapet,2019-2020
15200000,2540,Kokapet,2019-2020
15200000,2540,Kokapet,2019-2020
15200000,2630,Kokapet,2019-2020
15200000,2630,Kokapet,2019-2020
47200000,4500,Jubilee Hills,2019-2020
21500000,3380,Kokapet,2019-2020
12000000,2700,Manikonda,2019-2020
10000000,1792,Tellapur,2019-2020
9500000,1673,Tellapur,2019-2020
10700000,1665,Narsingi,2019-2020
10700000,1640,Narsingi,2019-2020
10700000,1640,Narsingi,2019-2020
11500000,1665,raidurgam,2019-2020
17000000,2200,Banjara Hills,2019-2020
4000000,1170,Pragathi Nagar Kukatpally,2019-2020
4000000,1170,Pragathi Nagar Kukatpally,2019-2020
8500000,1600,Banjara Hills,2019-2020
8600000,1644,Miyapur,2019-2020
8599000,1644,Miyapur,2019-2020
8898000,1687,Miyapur,2019-2020
8599000,1650,Miyapur,2019-2020
8298999,1554,Miyapur,2019-2020
8598000,1684,Miyapur,2019-2020
8898000,1650,Miyapur,2019-2020
4200000,970,Murad Nagar,2019-2020
4200000,970,Murad Nagar,2019-2020
10000000,2240,Tellapur,2019-2020
3900000,1050,Puppalaguda,2019-2020
10000000,2240,Tellapur,2019-2020
9900000,2240,Tellapur,2019-2020
4760000,1190,Nizampet,2019-2020
4400000,1100,Nizampet,2019-2020
7840000,1600,Chandanagar,2019-2020
4760000,1190,Nizampet,2019-2020
4400000,1100,Nizampet,2019-2020
8600000,1150,Hitech City,2019-2020
6800000,1415,Manikonda,2019-2020
18500000,1980,Banjara Hills,2019-2020
4400000,1100,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
4400000,1100,Nizampet,2019-2020
7840000,1600,Chandanagar,2019-2020
4760000,1190,Nizampet,2019-2020
4400000,1100,Nizampet,2019-2020
8600000,1150,Hitech City,2019-2020
5880000,1200,Chandanagar,2019-2020
4400000,1100,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
4400000,1100,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
4760000,1190,Nizampet,2019-2020
9906000,1905,Kukatpally,2019-2020
10000000,1925,Kukatpally,2019-2020
6187000,1482,Uppal Kalan,2019-2020
3800000,1100,Nizampet,2019-2020
11500000,1800,East Marredpally,2019-2020
12000000,1800,East Marredpally,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
18500000,1980,Banjara Hills,2019-2020
8600000,1150,Hitech City,2019-2020
6800000,1415,Manikonda,2019-2020
11100000,1730,Kukatpally,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4400000,1100,Aminpur,2019-2020
4641000,1105,Mallampet,2019-2020
4400000,1100,Aminpur,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
7847000,1165,Kondapur,2019-2020
4400000,1100,Aminpur,2019-2020
10000000,1535,Kondapur,2019-2020
4400000,1110,Aminpur,2019-2020
4641000,1105,Mallampet,2019-2020
9900000,2240,Tellapur,2019-2020
6500000,1278,Manikonda,2019-2020
7500000,1406,Attapur,2019-2020
6500000,1190,Mallapur,2019-2020
5300000,1215,Pragathi Nagar Kukatpally,2019-2020
4641000,1105,Mallampet,2019-2020
8600000,1150,Hitech City,2019-2020
4641000,1105,Mallampet,2019-2020
4641000,1105,Mallampet,2019-2020
10700000,1770,Kondapur,2019-2020
4840000,1210,Alwal,2019-2020
4542000,1010,Gajularamaram,2019-2020
8100000,1620,Serilingampally,2019-2020
6931000,1555,Gajularamaram,2019-2020
7098999,1190,Kukatpally,2019-2020
11100000,1730,Kukatpally,2019-2020
7240000,1165,Kondapur,2019-2020
10000000,1670,East Marredpally,2019-2020
13000000,1350,Hitech City,2019-2020
43000000,4780,Sri Nagar Colony,2019-2020
8900000,1836,Serilingampally,2019-2020
15000000,1970,West Marredpally,2019-2020
15000000,1970,West Marredpally,2019-2020
12000000,2000,Kukatpally,2019-2020
12000000,2000,Kukatpally,2019-2020
12000000,2000,Kukatpally,2019-2020
12000000,2000,Kukatpally,2019-2020
12000000,2000,Kukatpally,2019-2020
12000000,2000,Kukatpally,2019-2020
7744000,1210,Kondapur,2019-2020
9760000,1535,Kondapur,2019-2020
8500000,1315,Kondapur,2019-2020
2500000,680,AS Rao Nagar,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
8200000,1200,Malkajgiri,2019-2020
10800000,1735,Kokapet,2019-2020
27500000,2500,Jubilee Hills,2019-2020
35000000,3959,Kondapur,2019-2020
9822000,1889,Narsingi,2019-2020
30000000,4500,Kondapur,2019-2020
27500000,2500,Jubilee Hills,2019-2020
4880000,1220,Alwal,2019-2020
9984000,1920,Miyapur,2019-2020
25000000,2700,West Marredpally,2019-2020
5400000,1300,Mettuguda,2019-2020
15000000,2100,Banjara Hills,2019-2020
9984000,1920,Miyapur,2019-2020
10000000,1925,Miyapur,2019-2020
11800000,1885,Kondapur,2019-2020
4542000,1010,Gajularamaram,2019-2020
10900000,1695,Kukatpally,2019-2020
7098999,1090,Kukatpally,2019-2020
46000000,3100,Jubilee Hills,2019-2020
19800000,2200,Jubilee Hills,2019-2020
7600000,1521,Kondapur,2019-2020
18000000,2490,Kokapet,2019-2020
12300000,1675,Narsingi,2019-2020
12300000,1675,Narsingi,2019-2020
5500000,1260,Nizampet,2019-2020
3700000,1105,Nizampet,2019-2020
12300000,1675,Narsingi,2019-2020
12300000,1675,Narsingi,2019-2020
12300000,1675,Narsingi,2019-2020
12300000,1675,Narsingi,2019-2020
4850000,1200,Nizampet,2019-2020
4850000,1200,Nizampet,2019-2020
4850000,1200,Nizampet,2019-2020
4850000,1200,Nizampet,2019-2020
4850000,1200,Nizampet,2019-2020
4500000,900,Begumpet,2019-2020
7600000,1710,Malkajgiri,2019-2020
8600000,1242,Sri Nagar Colony,2019-2020
7500000,1705,Malkajgiri,2019-2020
5200000,1050,Malkajgiri,2019-2020
5700000,1225,Mehdipatnam,2019-2020
6931000,1555,Gajularamaram,2019-2020
10800000,1675,Venkat Nagar Colony,2019-2020
